,Hotels,Prices,Descriptions,Full_Descriptions
72,Sunotel Central,"€ 1,458",1 double bed,"Featuring a rooftop swimming pool and hot tub with views of Barcelona, Sunotel Central is set in the centre of Barcelona, just 10 minutes' walk from Plaza Catalunya.

Modern rooms at Sunotel Central include free high-speed WiFi, satellite TV and a private bathroom with a hairdryer and amenities.

Universitat Metro Station is just 200 metres from the hotel. The Ramblas, famous for its street performers, can be reached in 10 minutes by foot.

In the morning guests can enjoy a varied, fresh and healthy full buffet breakfast.

The hotel’s 24-hour reception offers a ticket booking service and luggage storage. There are computers in the lobby which guests can use for free. Meeting rooms are also available."
73,Barcelona Centric,€ 770,1 large double bed,"Attractively set in the Ciutat Vella district of Barcelona, Barcelona Centric is situated 2.5 km from Sant Miquel Beach, 2.6 km from Barceloneta Beach and 600 metres from Boqueria Market. The property is set 600 metres from Plaça Reial, 1.5 km from Passeig de Gracia and 1.2 km from Plaça Catalunya. The property is less than 1 km from the city centre and 2.5 km from Sant Sebastian Beach.

With a shared bathroom fitted with a shower and a hairdryer, rooms at the hostel also boast free WiFi, while certain rooms come with a balcony. At Barcelona Centric rooms have bed linen and towels.

Popular points of interest near the accommodation include Santa Maria del Mar, Picasso Museum and Cathedral of Barcelona. The nearest airport is Barcelona El Prat Airport, 12 km from Barcelona Centric."
74,Hotel Market,"€ 1,570",Beds: 1 double or 2 singles,"Hotel Market is located next to Barcelona’s San Antonio Market, 10 minutes' walk from MACBA Gallery. Its chic rooms have rain showers and free Wi-Fi, and there is a popular restaurant.

The Market Hotel’s modern rooms have dark wood beams, white walls and large windows. Each one has a private bathroom. Some rooms have a balcony or terrace.

The hotel is 15 minutes’ walk from both Plaza Espanya and Plaza Catalunya. Sant Antoni Metro Station is about 200 metres away, and an airport shuttle bus stop can be found 2 minutes’ away.

The Market Hotel’s elegant restaurant offers a range of modern Catalan dishes, and specializes in rice."
75,Hotel Via Augusta,"€ 1,180",1 double bed,"Situated next to Gràcia FGC Train Station, Hotel Via Augusta has a rooftop terrace with views of Barcelona. It offers functional, air-conditioned rooms with free Wi-Fi and flat-screen satellite TV.

The Via Augusta is a historic building with a beautiful original foyer. Rooms have simple, modern décor and wooden floors. They include a work desk, a safe and a bathroom with a hairdryer.

A varied breakfast buffet is served in the hotel, and drinks are available from the vending machine. A wide range of bars and restaurants can be found in the popular Gràcia district, within a 5-minute walk.

Hotel Via Augusta is 400 metres from Fontana Metro Station, and Parc Güell is just 1 Metro stop away. Plaza Catalunya and Las Ramblas are a 5-minute journey from nearby Gracia Station."
76,Hostal Barcelona,€ 853,Beds: 1 double or 2 singles,"Located 15 minutes' walk from Las Ramblas and Plaça Espanya, Hostal Barcelona has rooms with air conditioning, TV and free Wi-Fi. Famous for its theatres, Parallel Avenue is 100 metres away.

Hostal Barcelona can provide tourist information, assist with ticket reservations including the Barcelona Tourist Bus, and help arrange car/bike rental. There is an internet terminal in reception. A luggage storage service is available and all rooms have a safe. Reception is available 24 hours.

A continental breakfast buffet is served from 07:30 to 10:30 It offers different kinds of bread, butter, jams, cornflakes, yogurt, cheese, ham, salami, croissants, chocolate croissants, muffins, biscuits, gaufres, Nutella, fruit, juice, coffee, milk and tea. Cold and hot drinks and pastries are available 24 hours a day. Guests also have access to a microwave. There is a supermarket in the same building, restaurants and bars in the surroundings.

Parallel Metro Station and many bus routes are 100 metres from Hostal Barcelona. The Fira Convention Centre is 12 minutes away by public transport. Montjuïc is a 5-minute walk from the guest house, and the Old Harbour can be reached in 20 minutes on foot."
77,Blanc Guest House,"€ 1,037",3 single beds,"Blanc Guest House is 8 minutes’ walk from Barcelona’s famous Passeig de Gràcia Boulevard. It offers an attractive terrace and smart rooms with free Wi-Fi and a flat-screen TV.

The rooms at Blanc Guest House are decorated in white, with parquet floors and white furniture. Each one comes with air conditioning, heating and a fan, and some have a private bathroom.

Staff at reception can provide information about what to see and do in Barcelona. Car rental is also available from the front desk.

The Blanc is 8 minutes’ walk from Diagonal Metro Station, connecting you with the rest of the city with ease. Plaza Catalunya is just 2 stops away."
78,Hostal Barcelona Travel,"€ 1,471",1 double bed,"Barcelona Travel is located in a Modernist building from the XIX century in the centre of Barcelona, a little over 5 minutes' walk from Gran Vía Avenue and Plaça Universitat Square. Free WiFi access is available.

Each modern, air-conditioned room features parquet floors and a 40-inch flat-screen TV. Featuring a bath or shower, private bathrooms also come with a hairdryer and free toiletries. Bed linen and towels are provided.

Tourist information can be provided at the reception, and bikes and car rental are also available. Transportation to Barcelona El Prat Airport, located 20 minutes away by car, can be arranged.

The guest house is 850 metres from Passeig de Gracia Station, and Plaça Catalunya is 10 minutes away on foot."
79,Casa Gracia,"€ 1,391",1 double bed,"Casa Gràcia is a modern hostel at the top of Barcelona’s Passeig de Gràcia, 300 metres from Gaudí’s La Pedrera. It offers air-conditioned rooms and free Wi-Fi in all areas.

Shared and private rooms are available, as well as apartments. Facilities at Casa Gràcia include a communal terrace, lounge, kitchen, dining area and a 24-hour front desk.

The hostel arranges daily walking tours of the city.

Casa Gràcia is situated just metres from Avinguda Diagonal and within 300 metres of Diagonal Metro Station, which offers access to the Sagrada Familia.

Passeig de Gràcia is full of exclusive shops, restaurants and bars. Gaudí’s Casa Batlló is within a 10-minute walk,  as well as the popular Gràcia neighbourhood. There are a number of beautiful Modernist buildings in the area."
80,Serennia Cest Apartamentos Arc de Triomf,"€ 2,171","5 beds (4 singles, 1 sofa bed)","These modern apartments are located 5 minutes’ walk from Barcelona’s Arc de Triomf. Each air-conditioned apartment includes a flat-screen satellite TV and free Wi-Fi.

The apartments at Arc de Triomf Apartments feature parquet floors and light wood furniture. The modern kitchen has an oven, hob, washing machine and dishwasher.

There are plenty of bars, restaurants and supermarkets within a 2-minute walk of the apartments.

Arc de Triomf Apartments are just 200 metres from Estació del Nord Bus Station, and you can walk to Plaza Catalunya in 15 minutes. Ciutadela Park is a 10-minute walk away."
81,Hotel Balmoral,"€ 1,367",2 single beds,"Hotel Balmoral is within 5 minutes' walk of Barcelona’s Diagonal Metro Station and Passeig de Gràcia boulevard. This boutique hotel offers free access to its wellness area and free Wi-Fi.

Each modern, air-conditioned room at the Balmoral Hotel Barcelona features elegant, functional design. All rooms come with a flat-screen TV and a minibar.

The hotel has a small wellness area with a sauna, experience shower and fitness machines. It also includes massage cabins and a sun terrace.

Guests receive a free welcome drink between 12:00 and 18:00. You can enjoy a drink in the hotel’s bar, or try bars and restaurants in the popular Gràcia district, a 5-minute walk away. In the morning, a breakfast buffet is served in the hotel.

Hotel Balmoral Barcelona has a TV lounge where you can enjoy sports events on the big screen. There are also 2 computers with internet access.

Gaudí's famous La Pedrera is just a 5-minute walk from the hotel, and the iconic Sagrada Família is 2 km away. Nearby bus and metro connections offer direct access to Plaça Catalunya, the historic city centre and to FC Barcelona's Camp Nou Stadium. Private parking is available in the hotel at an extra cost."
82,Ohla Eixample,"€ 2,475",1 double bed,"Offering a year-round outdoor pool with city views, Ohla Eixample is a stylish boutique hotel located 10 minutes’ walk from two of Gaudi’s major works, La Pedrera and Casa Batlló. There is free high-speed WiFi available throughout and a Clef d’Or Concierge service.

Each well-designed room comes with a large bed and a private bathroom with bath or a rainfall shower. There is a 55-inch flat-screen satellite TV, a minibar with local delicatessen and a free safe for laptops. A turndown service is also available.

The on-site Michelin-starred Xerta Restaurant serves traditional recipes from the Ebro Region; and a complete breakfast is also served every morning including a huge selection of local products. The hotel also has the Lobby Bar, a meeting point for both locals and hotel guests; and the Sky Bar, a creative cocktail bar.

Guests can enjoy a selection of high-tech fitness equipment at the on-site gym; and beauty treatments and fashion services such as personal shopper are available on prior request.

Ohla Eixample is conveniently located in the Eixample District, in the modernist area locally known as Quadrat d’Or - Golden Square; within 5 minutes’ walk of the emblematic Diagonal Avenue, Rambla de Catalunya and Paseo de Gracia shopping boulevards. This urban building has an eye-catching ceramic façade, made from over 1000 carved pieces that represent Vivaldi’s Four Seasons."
83,Hotel SB Diagonal Zero 4 Sup,"€ 1,788",Beds: 1 double or 2 singles,"Hotel SB Diagonal Zero Barcelona is opposite Barcelona’s International Convention Centre and Barcelona's Forum Auditorium. It has a spa, a gym, a seasonal panoramic pool and a solarium on the hotel rooftop.

There is free access to the hotel gym. The spa is only for guests over 14, and includes a Turkish bath and Finnish sauna. Beauty and massage treatments are available at a surcharge.

All air-conditioned rooms at the Hotel SB Diagonal Zero Barcelona have flat-screen satellite TV, free WiFi and a laptop safe. The soundproofed rooms have facilities to connect iPods.

All rooms have ironing facilities, tea and coffee making facilities, and a kettle. There is a touch-screen control for lights and temperature. The private bathroom is equipped with a hairdryer, and bathrobes and slippers can be provided upon request."
84,Hotel Paxton Barcelona,"€ 2,735",Beds: 1 double or 2 singles,"Located in Barcelona, 1 km from Bogatell Beach, Hotel Paxton Barcelona provides accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a shared lounge. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. Certain rooms at the property include a terrace with a city view.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Hotel Paxton Barcelona each room comes with bed linen and towels.

Guests at the accommodation can enjoy a buffet breakfast. At Hotel Paxton Barcelona you will find a restaurant serving Italian and Spanish cuisine. Vegetarian, dairy-free and gluten-free options can also be requested.

Popular points of interest near the hotel include Mar Bella Beach, Nova Icaria Beach and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 16 km from Hotel Paxton Barcelona."
85,Catalonia Diagonal Centro,"€ 1,279",Beds: 1 double or 2 singles,"Catalonia Diagonal Centro is set in the heart of Barcelona’s Eixample district, 300 metres from Diagonal Metro Station. It features a seasonal outdoor pool and free Wi-Fi throughout the hotel.

At the Catalonia Diagonal Centro, you can enjoy modern, comfortable accommodation next to some of Barcelona’s most popular sights. All hotel rooms have smart TVs, which are equipped with Chromecast app

Only 300 metres away on Passeig de Gràcia is La Pedrera, one of Gaudi’s famous creations. Take a stroll past the Modernista buildings to reach Plaça Catalunya and the lively Ramblas area.

Back at the hotel, relax in your stylish bedroom with contemporary wooden furniture and marble en suite bathroom. Watch satellite television or take advantage of the free wireless internet connection.

A short stroll from the hotel takes you to trendy Gràcia, with its bohemian shops and leafy squares, and a huge selection of bars and restaurants. Nearby metro and bus lines make it easy to see the whole of this cosmopolitan city."
86,Leonardo Royal Hotel Barcelona Fira,"€ 1,106",Beds: 1 double or 2 singles,"Situated in Barcelona, 1.5 km from Palau Sant Jordi, Leonardo Royal Hotel Barcelona Fira features air-conditioned accommodation and a bar. Boasting a 24-hour front desk, this property also welcomes guests with a restaurant and an outdoor pool. Camp Nou is 2.9 km away and Boqueria Market is 4 km from the hotel.

At Leonardo Royal Hotel Barcelona Fira rooms come with a desk, a flat-screen TV and a private bathroom.

Guests at the accommodation can enjoy a buffet breakfast.

Leonardo Royal Hotel Barcelona Fira offers a terrace.

Magic Fountain of Montjuic is 2 km from the hotel, while Montjuïc is 2.1 km from the property. The nearest airport is Barcelona El Prat Airport, 8 km from Leonardo Royal Hotel Barcelona Fira."
87,H10 Cubik 4* Sup,"€ 1,963",Beds: 1 double or 2 singles,"Featuring free WiFi throughout the property, H10 Cubik offers accommodation in Barcelona. The hotel has a seasonal outdoor pool and terrace, and guests can enjoy a drink at the bar.

Rooms come with a flat-screen TV. Some units include a seating area for your convenience. Every room comes with a private bathroom.

There is a 24-hour front desk at the property.

Sitges is 35 km from H10 Cubik, while Calella is 47 km from the property. The nearest airport is El Prat Airport, 13 km from the property."
88,NH Barcelona Eixample,"€ 1,453",Beds: 1 double or 2 singles,"This modern hotel offers free WiFi and spacious, air-conditioned rooms with flat-screen satellite TV. NH Barcelona Eixample is 400 metres from Hospital Clínic Metro Station, in the Eixample district.

The NH Barcelona Eixample is a 15-minute walk from Passeig de Gràcia Boulevard and Plaza Catalunya Square. Barcelona Sants Train Station is within 2 Metro stops, and Gaudí’s Sagrada Família Church is 3 stops away.

Rooms at the NH Barcelona Eixample feature simple, functional décor and wooden floors. They all include a minibar and a selection of pillows. The marble bathrooms come with a hairdryer and a range of toiletries.

The hotel’s breakfast buffet includes typical pastries, fresh fruit and Spanish cured ham."
89,Hostal Boqueria,"€ 1,377",Beds: 1 double or 2 singles,"Situated on Barcelona’s Las Ramblas, this guest house is less than 200 metres from Liceu Metro Station. It offers simple, comfortable rooms and has free Wi-Fi access available throughout.

The Hostal Boquería’s functional rooms feature air conditioning and cable TV, as well as heating and a safe. The private bathroom comes with a hairdryer. Rooms with views of the Ramblas are subject to availability.

The Boquería has a 24-hour reception. Guests can also make use of its luggage storage.

The central location makes visiting Barcelona’s sights easy. The Boquería Market is just across the Ramblas. Barcelona Cathedral and the surrounding Gothic Quarter are within 5 minutes’ walk of Hostal Boqueria."
90,Catalonia Catedral,"€ 2,137",Beds: 1 double or 2 singles,"The Catalonia Catedral is set in a traditional Modernist building, just 100 metres from Barcelona Cathedral. It offers free use of Smartphones, Wi-Fi access, a rooftop seasonal pool and a Japanese-style terrace and garden.

The Catedral has stylish rooms, which have contemporary décor. Each has a flat-screen smart TV equipped with Chromecast app, air conditioning, a minibar, a Nespresso machine. A smartphone is available for guests during their stay free of charge.

The hotel’s Ascent Restaurant by Eboca serves Mediterrean cuisine and offers views of the nearby Palacio Pignatelli Art Gallery. There is also a bar in the hotel lobby where guests can use the computers with internet access and printers for free.

The Catalonia Catedral is around 10 minutes’ walk from landmarks such as Las Ramblas and Plaza de Catalunya Square. Barcelona’s Old Port and Marina are less than one kilometre away. Jaume I Metro Station is 5 minutes' walk away."
91,Sant Antoni Market,"€ 1,811","3 beds (2 singles, 1 large double)","The stylish apartments at San Antoni Market are less than 5 minutes’ walk from Sant Antoni Metro station in central Barcelona. They offer smart accommodation with free Wi-Fi, just 200 metres from the market.

The spacious apartments at Sant Antoni Market combine modern décor with original features such as beamed ceilings or French doors. The living room has a sofa and a flat-screen TV, while the kitchen comes with a microwave, fridge, oven, a toaster and a coffee maker.

There is a range of shops, bakeries, bars and cafés in the streets surrounding the apartments. The famous Las Ramblas and Plaza de Catalunya are within 20 minutes’ walk.

The MACBA Museum is less than 1 km from the apartments. Sant Antoni Metro Station is just 5 stops from the Sagrada Família. The airport bus stops on Comte d’Urgell and at Plaza Universitat, both within 15 minutes’ walk."
92,VIU BARCELONA BERTRAN,€ 908,1 double bed,"VIU BARCELONA BERTRAN, a property with a terrace, is located in Barcelona, 3.4 km from La Pedrera, 3.6 km from Casa Batllo, as well as 4 km from Passeig de Gracia. The property features mountain and garden views, and is 1.5 km from Park Güell. Free WiFi is available and private parking can be arranged at an extra charge.

Accommodation is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower, a hair dryer and free toiletries. An oven, a microwave and toaster are also provided, as well as a coffee machine and a kettle. At the apartment complex, each unit is equipped with bed linen and towels.

Sightseeing tours are available nearby.

Passeig de Gracia Metro Station is 4.1 km from the apartment, while Sagrada Familia is 4.2 km away. The nearest airport is Barcelona El Prat Airport, 15 km from VIU BARCELONA BERTRAN."
93,Inside Barcelona Apartments Princep,"€ 1,313","4 beds (2 singles, 2 sofa beds)","Vivo Barcelona Apartments Jordi offers modern and good value for money accommodation. The apartments are located in a quiet street, close to Plaza España.

It offers well-appointed apartments with full kitchens and air conditioning. There is free WiFi, Smart TV, washing machine and dishwasher. The building has been completely renovated in September 2021.

The accommodations are spacious and have a kitchen, bathroom and living-dining area. Here you can relax after a long day of sightseeing and prepare your own meals.

The apartments are located in a well-connected area of the city, Plaza España and the Fira fairgrounds are between 2 and 10 minutes' walk away. A little further afield, you can find the Montjuïc mountain, which houses the National Art Museum of Catalonia and the Miró Foundation.

Our clients say that this part of Barcelona is their favourite, based on independent reviews.

Vivo Barcelona Apartments Jordi has been receiving Booking.com clients since 14 Oct 2008."
94,Aparthotel Bertrán,€ 969,2 single beds,"Aparthotel Bertrán is located in a quiet part of Barcelona, 5 minutes’ walk from Avinguda Tibidabo FGC Station and Vallcarca Metro. It offers spacious accommodation, a gym and an outdoor pool.

Each air-conditioned Bertrán apartment has a living room with satellite TV and a sofa. The private bathroom comes with a hairdryer, and there is a kitchenette with a fridge, microwave and coffee maker.

Some apartments have a private balcony with table and chairs. All apartments have free Wi-Fi.

A continental breakfast is available at the Bertrán, and you can have breakfast in your apartment. There is a supermarket 2 minutes’ walk away.

There is a 24-hour reception, and you can hire a car from the tour desk. On-site parking is available for an extra charge.

You can reach Barcelona city centre in 15 minutes by train, Metro or bus, and there is a night bus stop nearby. Parc Güell is just over 1 km away."
95,Yurbban Ramblas Boutique Hotel,"€ 1,958",1 large double bed,"Situated conveniently in the centre of Barcelona, Yurbban Ramblas Boutique Hotel offers air-conditioned rooms, a terrace, free WiFi and a restaurant. Popular points of interest nearby include Passeig de Gracia Metro Station, Tivoli Theatre and Casa Batllo. The property is non-smoking and is set 2.5 km from Sant Miquel Beach.

At the hotel, all rooms are fitted with a wardrobe, a TV, a private bathroom, bed linen and towels. Every room has a safety deposit box, while selected rooms will provide you with a balcony and others also have city views.

Speaking English, Spanish and French, staff at the 24-hour front desk can help you plan your stay.

Popular points of interest near Yurbban Ramblas Boutique Hotel include Boqueria Market, Passeig de Gracia and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
96,"Hotel Balmes, a member of Preferred Hotels & Resorts","€ 1,519",Beds: 1 double or 2 singles,"Balmes is located in central Barcelona, 5 minutes’ walk from the famous Passeig de Gràcia Boulevard. It offers a swimming pool, a gym/fitness center and modern rooms with satellite TV.

The air-conditioned rooms at Hotel Balmes feature parquet floors and smart, simple décor. They all come with a private bathroom, a flat-screen TV and free Wi-Fi.

B Bar, like the rest of the hotel, is decorated with works of African art.

Staff at the hotel’s 24-hour reception can help booking tickets for guided tours, live shows and other events. There is a computer in the lobby which guests can use for free.

Gaudí’s Casa Batlló and La Pedrera are both under 10 minutes’ walk from the hotel. You can walk to Las Ramblas and Barcelona’s charming Gothic Quarter in around 15 minutes."
97,Hotel Best 4 Barcelona,"€ 1,390",Beds: 1 double or 2 singles,"This stylish hotel offers a gym and free Wi-Fi. It is set on a quiet street just 6 minutes’ walk from Bogatell Beach and 300 metres from Llacuna Metro Station.

The bright, air-conditioned rooms at the Hotel 4 Barcelona hotel are modern and elegant, with wooden floors. All have flat-screen satellite TV, and some have views of the sea or city.

The Hotel 4 Barcelona’s restaurant offers Mediterranean dishes, and there is also a stylish bar. The surrounding area has several popular restaurants and bars.

The hotel offers a sauna and steam baths, available for an extra cost. The gym is available for an extra cost, and massage can be arranged. It also has a 24-hour reception with bicycle rental

Hotel 4 is set in the 22@ Technological District, 1 km from Ciutadella Park and 600 metres from the Olympic Port."
98,Hotel Suizo,"€ 1,385",2 single beds,"This hotel, located in the Gothic heart of Barcelona near the Cathedral, enjoys an ideal location for visiting the sights of this exciting city.

Hotel Suizo has modern facilities and comfortable rooms with satellite television and air conditioning. Watch the world go by from the bedroom with a balcony overlooking the streets of Barcelona’s Gothic quarter, or relax in the Suizo’s lounge.

Wander in the labyrinth of narrow streets surrounding the impressive Barcelona Cathedral, just 200 metres from the hotel. A short walk takes you to the famous Ramblas, with its colourful street performers and pavement cafés.

Walk down to the old port or the beach, or take the metro to visit other areas of the city. A metro station next to the Hotel Suizo makes public transport connections easy."
99,Chi,"€ 1,419",Beds: 1 double or 2 singles,"Located in Barcelona’s Eixample District, beside Rocafort Metro Station and 15 minutes’ walk from Plaza Catalunya,  Chi Hotel offers rooms with air-conditioning and heating (depending on the season) and free WiFi.

The modern rooms include a flat-screen TV, minibar, safe and a private bathroom with free toiletries and a hairdryer.

There is a 24-hour front desk at the property. Staff can help with tourist information and car hire.

You will find many shops, restaurants and bars in the surrounding area."
100,Midtown Apartments,"€ 2,399",2 single beds,"Ideally located, 6 minutes’ walk from both Paseo de Gracia and central Plaza Catalunya, Midtown Apartments offers stylish, modern décor apartments with a seasonal pool and solarium in the building’s rooftop.

Set in the same building, all the soundproofed apartments have a smart TV in each bedroom and a living-dining room with a bluetooth speaker and a free safe. The kitchen is equipped with ceramic hobs, oven and dishwasher; there is a washing machine, a dryer and cleaning products are provided.

Numerous bars and restaurants serving local and international cuisine are within walking distance, and supermarkets open till late can be found nearby.

The apartments are also well connected by bus and metro to all main tourist attractions in Barcelona. A private parking is available on site."
101,08028 Apartments,€ 977,2 single beds,"08028 Apartments are situated next to Les Corts Metro Station and 5 minutes’ walk from Barcelona’s Camp Nou Football Stadium. The modern apartments share a rooftop pool with views of Barcelona.

Apartments and suites at the 08028 feature contemporary design and free Wi-Fi. Apartments include a balcony, lounge area and a fitted kitchen.

The Taberna Lizarran at the 08028 Apartments serves traditional Spanish cuisine, including tapas.

The 08028 Apartments are a 15-minute walk from Sants Train Station. Plaza Catalunya and the famous Las Ramblas can be reached in around 20 minutes, by Metro."
102,Generator Barcelona,"€ 1,267",2 single beds,"Generator Barcelona is located 500 metres from the fashionable Passeig de Gracia Avenue. The hostel offers a 24-hour reception, free private lockers in shared dormitories and free Wi-Fi in public areas.

Diagonal and Verdaguer metro stations are within 5 minutes’ walk from Generator Barcelona. The Gràcia district, which has plenty of boutique shops and bars, is only 200 metres away.

Both private rooms and dormitories have air conditioning and heating, as well as individual power sockets and reading lamps for each bed. Female-only dormitories include hairdryers and other amenities.

They also feature an en suite bathroom, a sink and a mirror. Bed linen is included, while towels can be rented at the reception. Dormitories are available for guests over 18 years old.

Guests can have a daily breakfast for an extra cost. Generator Barcelona also has a communal lounge and a luggage storage service."
103,You Stylish Diagonal Apartments,"€ 1,983","2 beds (1 double, 1 sofa bed)","Set in a Modernist building on Barcelona’s Diagonal Avenue, You Stylish Diagonal Apartments is located just 120 metres from Francesc Macià Square. These modern apartments offer free Wi-Fi and a flat-screen TV.

The air-conditioned, soundproofed apartments feature stylish décor with design furniture and parquet floors. Each one has a lounge-diner with a sofa, and the kitchens include a hob, oven, microwave and coffee maker. The bathrooms come with a hairdryer.

A swimming pool and small gym are located nearby, and surcharges are applicable.

A cleaning or babysitting service, as well as breakfast and other catering, are available for an extra charge. There are many shops, bars and restaurants within a 5-minute walk of You Stylish Diagonal Apartments.

You can walk to the top of the prestigious Passeig de Gràcia Boulevard in 13 minutes from You Stylish Diagonal Apartments. Located 10 minutes’ walk away, Hospital Clinic Metro Station connects you with Sants Station in 2 stops and Barcelona FC’s Camp Nou Stadium in 4 stops."
104,Vincci Mae,"€ 1,791",Beds: 1 double or 2 singles,"Set beside Barcelona's Francesc Macià Square, Vincci Mae features a terrace with a plunge pool and fantastic views of Diagonal Avenue and Tibidabo Mountain.

Vincci Mae boasts an on-site restaurant and bar, it also has a 24-hour front desk and offers free WiFi throughout the property.  An assorted buffet breakfast is offered everyday.

Stylish rooms feature a simple and bright décor, air-conditioning, a flat-screen TV, kettle, and minibar. The fancy private bathroom includes a shower, free toiletries ,and a hairdryer.

Casa Batlló is 1.6 km from Vincci Mae, while La Pedrera is 1.3 km away. You can reach Plaza Catalunya in 20 minutes in public transport."
105,Hotel Derby,"€ 1,413",Beds: 1 double or 2 singles,"Situated 300 metres from L’Illa Diagonal Shopping Centre, the Derby is a 20-minute walk from FC Barcelona’s Camp Nou stadium. Each air-conditioned room offers flat-screen satellite TV and free internet access.

The stylish Derby Hotel has an impressive collection of Catalan art, including pieces by Miró and Tàpies. Rooms have functional design and parquet flooring. They all include a safe and a minibar.

Hotel Derby features Italian pizzeria Santa Napoli and cocktail bar with Peruvian nuances Lima Bruja.

Located just 10 metres away, the Gran Derby Hotel allows guests access to its gym and swimming pool. Hospital Clinic Metro Station is 800 metres away, while the Feria Trade Fair in Plaza Espanya can be reached in a 20-minute walk."
106,Inside Barcelona Apartments Esparteria,"€ 1,529","3 beds (2 singles, 1 sofa bed)","These stylish apartments are located in Barcelona’s El Born district, 3 minutes' walk from the Picasso Museum. Each apartment offers free Wi-Fi and flat-screen satellite TV.

Inside Barcelona Apartments Esparteria are bright and air-conditioned. They all have a spacious seating area and a modern kitchenette with an oven, hob and fridge.

Inside Barcelona Apartments Esparteria has a communal terrace (open during office hours), where guests can enjoy views of nearby Santa María del Mar Church.

Staff at reception can help organise your trip to Barcelona. Bicycle rental and a ticket service are also available.

The Esparteria is within 100 metres of the popular Passeig del Born. Barceloneta Beach is a 15-minute walk away, and Ciutadella Park is 400 metres away. There are various restaurants, bars and supermarkets within a short walk."
107,H10 Casa Mimosa 4* Sup,"€ 2,861",Multiple bed types,"Housed in a 19th- century modernist building, just behind La Pedrera, H10 Casa Mimosa offers an impressive chill-out terrace with a plunge pool and a sun lounger area with privileged views of Casa Milà’s terrace.

All rooms are outward-facing, with both views over Pau Claris Street or over the courtyard garden which has Gaudí’s chimneys in the background. All have smart temperature control and high-quality amenities including a Nespresso Coffee Machine and a digital safe box. Some rooms also have spacious terraces.

The on-site El Til•ler Restaurant serves a delicious breakfast with a buffet consisting of natural products and a selection of à la carte dishes. The Lobby Bar also offers light meals and is also an excellent meeting point for a drink.

The beautiful garden retains some former cabins which are located in a courtyard that is typical of the Eixample district; and has a large variety of Mediterranean greenery such as a century-old palm tree, an impressive lime tree and mimosas, which give the hotel’s name. In the garden there is also an elevated swimming pool and a sun lounger area.

From here, there is access to the Las Cocheras meeting room, a former garage with high-ceilings and a capacity up to 100 people.

Ideally located, H10 Casa Mimosa is 10 minutes’ walk from Casa Battló; Plaza Catalunya and Ramblas can be reached within 15 minutes’ walk. There is free high-speed WiFi available throughout."
108,H10 Art Gallery 4* Sup,"€ 1,939",Beds: 1 double or 2 singles,"Offering a terrace with hammocks and swimming pool on the 7th floor, H10 Art Gallery is a modern hotel located in Barcelona, 350 metres from Rambla Catalunya. Free Wi-Fi access is available.

This design hotel showcases various pieces of art including paintings, lithographs and sculptures. There is a free business corner with computers, free national and international newspapers and a panoramic lift.

The elegant, air-conditioned rooms at the Art Gallery hotel come with a LED-screen TV with international channels, an iPod dock, a minibar and a laptop safe. The private bathrooms have a hairdryer and free toiletries.

A buffet breakfast made of high-quality, natural products and a range of à la carte dishes, is served every morning.

There is a stylish garden with decorative sheets of water, a bar and a restaurant on the hotel's ground floor. At H10 Art Gallery you will find a 24-hour front desk where tourist information can be provided, as well as meeting and banquet facilities.

Private parking is available for an extra cost. Provença Railway Station is 2 minutes' walk away, while Diagonal Metro Station is 400 metres away. El Prat Airport is 14 km away.

THE NIRTC LICENSE NUMBER IS : HB-004616"
109,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel","€ 2,267",2 single beds,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel features an outdoor swimming pool, fitness centre, a terrace and restaurant in Barcelona. This 4-star hotel features free WiFi and a bar. Certain units at the property feature a balcony with a city view.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Labtwentytwo Barcelona, a Tribute Portfolio Hotel every room includes bed linen and towels.

Breakfast is available every morning, and includes buffet, à la carte and continental options.

Speaking German, English, Spanish and French, staff will be happy to provide guests with practical information on the area at the reception.

Nova Mar Bella Beach is 1.9 km from the accommodation, while Llevant is 2.1 km away. The nearest airport is Barcelona El Prat Airport, 17 km from Labtwentytwo Barcelona, a Tribute Portfolio Hotel."
